NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
4,Small,17,9,4.0,11,5.531,4.0,15.2,12.0,18.696825,3,17,23,32.23,2.79,4.72,1.13,0.989,21,24
3,SUV,19,10,13.5,3,10.471,13.5,51.3,40.5,0.685125,1,9,18,15.32,0.87,4.72,1.19,0.928,19,21
4,Small,19,6,4.0,3,11.521,4.0,15.2,12.0,13.009950000000002,1,19,23,14.24,2.2,4.68,0.98,0.969,20,24
4,Sedan,17,11,6.0,3,8.74,6.0,22.8,18.0,3.42945,2,17,23,17.33,2.99,4.75,1.2,0.981,23,26
4,Sedan,17,7,6.0,7,13.292,6.0,22.8,18.0,13.009950000000002,1,17,23,28.34,3.29,4.79,1.17,0.989,22,27
1,Small,17,10,6.0,11,14.94,4.0,15.2,10.0,13.009950000000002,2,9,16,14.93,2.93,4.73,1.15,0.977,20,25
1,SUV,17,7,13.5,7,13.852,13.5,51.3,40.5,0.685125,1,6,16,44.55,0.89,4.64,1.01,0.975,23,25
3,Small,22,9,6.0,11,15.946,4.0,15.2,10.0,3.42945,3,7,10,10.3,2.16,4.68,1.17,0.956,22,24
5,Sedan,18,11,6.0,7,5.936,6.0,22.8,18.0,1.33605,1,6,10,32.63,2.08,4.77,1.07,0.985,23,27
1,Small,21,9,5.0,11,13.784,4.0,15.2,11.0,5.4774,2,21,23,14.51,2.64,4.78,1.24,0.974,22,26
2,SUV,20,9,13.5,3,10.805,13.5,51.3,40.5,1.33605,1,20,23,10.57,1.0,4.62,0.97,0.91,21,23
2,Small,17,10,5.0,3,14.416,4.0,15.2,11.0,2.426175,2,9,16,10.43,1.39,4.72,1.04,0.933,21,24
1,Sedan,18,9,6.0,3,7.637,6.0,22.8,18.0,1.33605,3,18,23,48.54,0.52,4.77,0.99,0.961,20,23
1,Small,19,8,4.0,3,7.687,4.0,15.2,12.0,3.42945,2,7,18,27.32,2.18,4.64,0.99,0.983,22,26
5,Small,17,9,5.0,11,14.368,4.0,15.2,11.0,13.009950000000002,3,17,23,49.12,1.68,4.73,0.96,0.988,20,22
2,Sedan,18,9,6.0,7,10.356,6.0,22.8,18.0,18.696825,2,4,8,37.99,3.25,4.75,1.13,0.992,23,28
2,Sedan,18,9,6.0,3,6.959,6.0,22.8,18.0,18.696825,2,18,23,14.28,0.69,4.73,1.05,0.903,23,25
1,SUV,19,8,13.5,3,7.151,13.5,51.3,40.5,1.33605,3,19,23,31.57,3.3,4.66,0.99,0.99,21,24
1,Truck,17,8,17.5,3,12.648,17.5,66.5,52.5,18.696825,3,7,16,9.79,1.26,4.76,0.98,0.922,21,23
4,Sedan,18,7,6.0,11,6.465,6.0,22.8,18.0,3.42945,3,18,23,48.5,0.67,4.68,1.22,0.97,19,23
1,Small,19,10,4.0,11,7.235,4.0,15.2,12.0,5.4774,3,19,23,28.17,1.46,4.62,0.93,0.976,19,22
4,SUV,18,8,13.5,11,9.002,13.5,51.3,40.5,2.426175,1,5,7,26.32,2.73,4.7,1.21,0.986,23,26
4,Sedan,17,11,6.0,11,6.274,6.0,22.8,18.0,3.42945,2,7,10,44.82,1.65,4.69,1.02,0.987,19,23
1,Truck,16,9,17.5,7,13.43,17.5,66.5,52.5,1.33605,3,4,8,37.78,2.17,4.62,0.93,0.988,20,24
5,Small,18,8,5.0,3,14.387,4.0,15.2,11.0,1.33605,3,2,7,46.29,1.41,4.65,1.01,0.985,21,26
4,Small,16,7,4.0,3,10.052,4.0,15.2,12.0,19.434825,1,16,23,43.41,1.1,4.64,1.02,0.979,21,25
4,Sedan,16,9,7.0,11,17.041,6.0,22.8,17.0,0.685125,2,8,15,10.83,0.9,4.65,1.13,0.902,19,23
4,Sedan,17,7,6.0,3,12.786,6.0,22.8,18.0,13.009950000000002,1,6,16,24.06,1.76,4.75,1.2,0.977,20,25
4,Sedan,18,7,6.0,7,13.792,6.0,22.8,18.0,13.009950000000002,1,18,23,21.58,2.36,4.61,0.93,0.981,19,23
1,Sedan,19,9,6.0,11,9.497,6.0,22.8,18.0,2.426175,1,8,18,19.29,1.56,4.67,0.91,0.967,22,25
