NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,Truck,19,9,17.5,11,13.589,17.5,66.5,52.5,5.4774,1,3,7,45.17,2.45,4.73,1.23,0.991,19,21
4,Small,19,9,4.0,3,8.703,4.0,15.2,12.0,13.009950000000002,3,3,7,20.95,3.21,4.74,1.03,0.985,23,25
5,SUV,17,9,13.5,7,13.317,13.5,51.3,40.5,5.4774,3,7,16,8.42,3.09,4.75,1.13,0.962,19,24
2,Sedan,17,8,6.0,11,8.662,6.0,22.8,18.0,0.685125,1,6,16,37.86,1.97,4.76,1.14,0.987,22,27
2,Sedan,18,9,6.0,11,4.325,6.0,22.8,18.0,19.434825,1,7,17,43.18,2.24,4.61,1.13,0.99,21,25
5,Sedan,20,8,6.0,7,10.519,6.0,22.8,18.0,0.685125,2,6,19,30.81,0.74,4.71,1.08,0.957,22,26
5,Small,19,9,4.0,11,9.205,4.0,15.2,12.0,1.33605,1,6,7,49.64,1.72,4.61,1.12,0.988,19,23
3,Sedan,18,10,6.0,11,10.606,6.0,22.8,18.0,2.426175,2,18,23,29.25,1.04,4.66,0.96,0.968,20,23
4,Sedan,17,9,6.0,7,6.101,6.0,22.8,18.0,2.426175,2,7,16,13.6,2.42,4.72,0.92,0.97,21,26
4,SUV,20,8,13.5,11,13.824,13.5,51.3,40.5,13.009950000000002,1,6,19,39.24,2.71,4.74,0.98,0.991,22,26
1,Small,18,9,4.0,7,9.728,4.0,15.2,12.0,2.426175,1,4,7,20.86,3.26,4.8,0.91,0.985,20,23
1,Small,20,10,6.0,11,16.591,4.0,15.2,10.0,2.426175,3,8,19,39.04,1.38,4.61,1.08,0.982,20,23
5,Sedan,17,11,6.0,3,8.243,6.0,22.8,18.0,5.4774,2,2,9,39.37,1.6,4.73,1.13,0.984,22,25
3,Truck,17,10,17.5,3,12.683,17.5,66.5,52.5,3.42945,3,17,23,10.78,1.65,4.63,1.01,0.945,20,24
2,Small,20,8,4.0,3,7.87,4.0,15.2,12.0,5.4774,3,20,23,13.88,2.77,4.75,0.92,0.974,22,25
1,Sedan,16,9,6.0,7,7.354,6.0,22.8,18.0,0.685125,2,7,15,27.91,2.62,4.72,0.97,0.986,22,27
2,Sedan,18,8,6.0,11,12.115,6.0,22.8,18.0,13.009950000000002,2,18,23,30.98,1.01,4.61,1.09,0.969,21,25
5,Small,20,7,5.0,3,13.203,4.0,15.2,11.0,13.009950000000002,3,20,23,44.85,1.82,4.77,1.21,0.988,21,26
2,Sedan,19,7,6.0,7,13.699,6.0,22.8,18.0,1.33605,1,19,23,8.49,1.49,4.73,1.07,0.924,20,24
4,SUV,18,8,13.5,11,9.089,13.5,51.3,40.5,1.33605,1,18,23,30.05,0.73,4.62,1.11,0.955,19,22
2,Sedan,16,10,7.0,3,15.483,6.0,22.8,17.0,5.4774,2,5,8,7.48,1.74,4.73,1.1,0.926,23,25
2,SUV,18,7,13.5,3,6.123,13.5,51.3,40.5,19.434825,3,18,23,39.08,1.71,4.8,1.11,0.985,20,24
2,Truck,19,10,17.5,3,11.212,17.5,66.5,52.5,5.4774,1,2,8,48.88,2.28,4.64,1.06,0.991,23,25
3,Small,21,11,5.0,7,13.427,4.0,15.2,11.0,19.434825,2,9,20,41.0,2.14,4.66,1.03,0.989,23,26
4,Sedan,19,10,6.0,3,11.931,6.0,22.8,18.0,5.4774,3,8,18,38.06,1.66,4.61,1.15,0.984,20,23
2,Small,20,10,5.0,7,14.411,4.0,15.2,11.0,19.434825,3,20,23,47.5,0.52,4.68,1.19,0.96,21,25
2,Sedan,19,9,6.0,3,4.722,6.0,22.8,18.0,2.426175,3,7,18,13.73,1.62,4.76,1.2,0.956,20,24
4,SUV,17,10,13.5,3,11.961,13.5,51.3,40.5,1.33605,2,4,8,33.3,2.01,4.79,0.93,0.985,21,25
1,Small,19,8,5.0,3,14.451,4.0,15.2,11.0,2.426175,2,6,18,22.77,0.97,4.68,1.18,0.956,23,28
4,SUV,20,10,13.5,3,10.378,13.5,51.3,40.5,5.4774,1,5,8,25.48,1.78,4.71,1.01,0.978,20,24
2,Truck,19,8,17.5,7,8.485,17.5,66.5,52.5,2.426175,1,19,23,14.92,2.81,4.73,0.99,0.976,23,28
5,Small,20,9,4.0,11,11.564,4.0,15.2,12.0,3.42945,3,20,23,6.9,1.0,4.77,1.1,0.865,21,24
3,Small,21,10,4.0,11,8.774,4.0,15.2,12.0,5.4774,2,8,20,25.78,3.01,4.75,0.99,0.987,19,21
1,Sedan,17,10,6.0,7,8.212,6.0,22.8,18.0,2.426175,1,7,8,23.64,3.28,4.69,1.2,0.987,23,26
5,Small,19,9,4.0,11,7.808,4.0,15.2,12.0,2.426175,2,2,7,22.37,1.0,4.64,1.01,0.956,20,24
4,Small,17,11,4.0,11,8.882,4.0,15.2,12.0,19.434825,1,17,23,38.47,3.24,4.74,1.17,0.992,22,24
1,Small,17,12,4.0,7,8.631,4.0,15.2,12.0,18.696825,2,10,16,42.51,1.97,4.77,0.99,0.988,21,25
4,SUV,19,10,13.5,3,10.414,13.5,51.3,40.5,5.4774,3,8,18,40.47,2.24,4.61,0.96,0.989,19,23
2,Small,20,10,4.0,7,6.051,4.0,15.2,12.0,2.426175,1,20,23,40.64,2.2,4.7,1.07,0.989,23,28
1,Sedan,19,10,6.0,7,4.426,6.0,22.8,18.0,5.4774,3,1,8,15.72,3.19,4.75,1.19,0.98,19,22
1,Small,17,12,4.0,3,5.352,4.0,15.2,12.0,18.696825,3,8,11,32.07,2.71,4.6,1.24,0.989,19,23
5,SUV,19,7,13.5,3,8.619,13.5,51.3,40.5,2.426175,1,5,18,12.67,2.31,4.72,0.92,0.966,19,21
5,Small,20,9,4.0,11,10.581,4.0,15.2,12.0,2.426175,1,7,19,38.52,1.74,4.71,1.02,0.985,20,25
4,Sedan,18,10,6.0,11,8.751,6.0,22.8,18.0,5.4774,1,18,23,9.05,1.56,4.67,1.16,0.932,19,21
2,Small,21,10,4.0,7,11.305,4.0,15.2,12.0,0.685125,2,21,23,18.68,1.97,4.75,1.23,0.973,21,26
1,Small,19,10,4.0,7,10.753,4.0,15.2,12.0,5.4774,2,8,18,39.17,0.56,4.61,0.94,0.955,23,27
1,Small,19,10,4.0,7,10.168,4.0,15.2,12.0,13.009950000000002,3,19,23,35.12,0.93,4.74,1.19,0.97,20,25
1,Sedan,19,9,6.0,3,13.77,6.0,22.8,18.0,18.696825,3,7,18,40.7,1.45,4.69,1.19,0.983,22,25
2,Truck,18,10,17.5,11,9.954,17.5,66.5,52.5,18.696825,2,8,17,7.34,1.01,4.61,1.05,0.874,21,24
2,Small,21,10,4.0,3,8.484,4.0,15.2,12.0,2.426175,2,4,8,15.85,0.6,4.7,1.19,0.9,19,21
2,Truck,18,8,17.5,3,8.226,17.5,66.5,52.5,13.009950000000002,2,6,17,46.17,2.23,4.75,1.23,0.99,22,27
4,Sedan,18,8,6.0,7,11.34,6.0,22.8,18.0,2.426175,1,1,6,28.58,1.71,4.66,1.22,0.98,19,21
3,Small,19,8,4.0,11,9.896,4.0,15.2,12.0,3.42945,2,19,23,42.49,2.5,4.78,1.05,0.991,21,26
4,Small,17,10,4.0,7,7.693,4.0,15.2,12.0,3.42945,1,17,23,33.86,0.94,4.78,1.24,0.969,21,26
4,Small,19,8,4.0,3,5.809,4.0,15.2,12.0,19.434825,3,6,18,40.46,3.14,4.66,1.15,0.992,21,26
2,SUV,16,12,13.5,7,13.267,13.5,51.3,40.5,5.4774,3,10,15,20.17,1.79,4.76,0.98,0.973,20,24
2,Sedan,17,10,6.0,11,11.514,6.0,22.8,18.0,18.696825,1,8,16,16.2,3.35,4.69,1.09,0.982,22,27
3,Small,18,7,5.0,3,13.727,4.0,15.2,11.0,18.696825,2,3,5,23.68,3.57,4.73,0.91,0.988,21,24
1,Small,17,11,4.0,3,8.565,4.0,15.2,12.0,0.685125,2,17,23,33.63,3.59,4.6,1.04,0.992,22,26
1,Truck,18,11,17.5,3,7.436,17.5,66.5,52.5,1.33605,1,18,23,16.63,1.82,4.68,1.2,0.968,23,28
3,SUV,18,9,13.5,3,11.177,13.5,51.3,40.5,0.685125,3,18,23,40.57,2.21,4.69,1.03,0.989,20,24
2,Sedan,20,7,7.0,11,16.3,6.0,22.8,17.0,13.009950000000002,3,5,19,12.16,2.24,4.61,0.95,0.964,22,27
2,Small,17,9,5.0,3,11.908,4.0,15.2,11.0,1.33605,3,17,23,47.62,2.3,4.73,1.03,0.991,21,25
3,Sedan,19,11,7.0,3,16.038,6.0,22.8,17.0,19.434825,1,4,9,34.35,1.58,4.75,0.95,0.982,22,24
1,Sedan,19,9,6.0,7,9.031,6.0,22.8,18.0,5.4774,2,7,18,37.51,1.81,4.66,1.04,0.985,23,28
4,Small,17,7,4.0,7,10.571,4.0,15.2,12.0,3.42945,1,5,16,46.49,2.67,4.62,0.92,0.992,23,26
2,Small,19,11,4.0,11,9.052,4.0,15.2,12.0,0.685125,3,19,23,18.77,1.22,4.64,1.03,0.957,23,28
2,Truck,19,10,17.5,7,13.986,17.5,66.5,52.5,5.4774,3,6,9,43.21,0.61,4.66,0.97,0.963,22,26
1,Small,16,10,4.0,7,9.244,4.0,15.2,12.0,5.4774,1,8,15,44.94,0.83,4.66,1.01,0.974,20,24
5,Small,19,11,6.0,3,15.239,4.0,15.2,10.0,5.4774,1,19,23,12.44,1.76,4.7,1.13,0.955,23,25
2,SUV,18,8,13.5,3,8.287,13.5,51.3,40.5,3.42945,3,6,17,39.12,2.55,4.63,0.91,0.99,21,23
3,Small,16,10,5.0,7,12.134,4.0,15.2,11.0,19.434825,3,16,23,13.78,1.49,4.77,1.17,0.952,20,25
5,Small,21,7,4.0,7,5.808,4.0,15.2,12.0,18.696825,3,1,5,8.38,3.48,4.79,1.08,0.966,21,23
4,Small,17,10,5.0,3,11.881,4.0,15.2,11.0,3.42945,3,17,23,9.7,0.56,4.7,0.92,0.832,19,24
5,Sedan,17,7,6.0,3,8.433,6.0,22.8,18.0,1.33605,2,5,7,9.29,3.09,4.75,1.02,0.966,22,26
4,Sedan,20,10,6.0,3,10.637,6.0,22.8,18.0,19.434825,2,20,23,15.94,0.66,4.61,1.15,0.909,23,25
