NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
4,SUV,16,8,13.5,3,14.205,13.5,51.3,40.5,13.009950000000002,1,7,8,7.98,3.51,4.62,1.05,0.965,23,25
4,Sedan,18,7,6.0,11,12.901,6.0,22.8,18.0,19.434825,3,6,17,22.75,1.18,4.65,0.96,0.963,23,27
1,Small,17,7,5.0,11,14.214,4.0,15.2,11.0,0.685125,1,6,16,47.05,1.16,4.76,1.14,0.982,21,23
2,Small,21,8,5.0,7,12.252,4.0,15.2,11.0,13.009950000000002,3,7,20,45.43,3.13,4.79,1.21,0.993,19,22
4,Sedan,17,10,6.0,7,12.489,6.0,22.8,18.0,0.685125,2,4,9,48.2,1.98,4.74,1.03,0.99,22,24
1,Sedan,20,10,8.0,11,19.667,6.0,22.8,16.0,13.009950000000002,3,4,9,15.83,1.39,4.66,1.13,0.956,22,26
2,Sedan,17,11,6.0,3,6.288,6.0,22.8,18.0,5.4774,2,17,23,40.93,1.91,4.65,1.0,0.987,19,22
1,SUV,17,7,13.5,11,10.016,13.5,51.3,40.5,1.33605,2,17,23,35.76,0.79,4.61,0.97,0.965,20,23
3,Sedan,19,8,6.0,3,4.464,6.0,22.8,18.0,0.685125,3,4,7,34.26,3.13,4.71,1.14,0.991,23,28
2,Small,18,9,4.0,3,9.509,4.0,15.2,12.0,1.33605,1,5,8,16.74,3.03,4.72,1.21,0.98,21,26
2,Truck,19,8,17.5,3,15.114,17.5,66.5,52.5,1.33605,3,2,7,19.2,3.42,4.78,0.96,0.985,20,25
5,Truck,21,6,17.5,7,10.363,17.5,66.5,52.5,0.685125,2,21,23,31.42,1.57,4.64,1.25,0.98,22,27
3,Sedan,18,8,6.0,7,3.801,6.0,22.8,18.0,1.33605,3,7,17,46.41,2.56,4.8,0.97,0.992,21,25
