NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,Small,16,9,4.0,11,8.57,4.0,15.2,12.0,3.42945,3,6,9,8.07,1.92,4.63,0.92,0.937,23,26
4,SUV,20,8,13.5,11,5.691,13.5,51.3,40.5,18.696825,1,4,7,26.57,3.03,4.69,1.22,0.988,23,26
1,Sedan,20,11,6.0,3,13.059,6.0,22.8,18.0,1.33605,1,10,19,33.37,2.18,4.79,1.19,0.986,23,27
3,Truck,20,10,17.5,7,9.809,17.5,66.5,52.5,2.426175,1,9,19,21.62,0.51,4.68,1.22,0.913,20,23
3,Small,19,10,6.0,7,15.518,4.0,15.2,10.0,18.696825,1,3,9,22.04,2.55,4.74,1.04,0.982,22,25
4,Sedan,18,7,6.0,11,14.605,6.0,22.8,18.0,3.42945,1,6,17,20.4,2.01,4.71,1.14,0.976,21,24
5,Small,19,8,4.0,7,8.671,4.0,15.2,12.0,3.42945,1,2,7,48.61,0.6,4.79,1.03,0.966,19,22
5,Small,21,7,5.0,11,13.519,4.0,15.2,11.0,18.696825,2,6,20,14.98,1.0,4.62,0.99,0.935,20,24
4,Sedan,19,7,6.0,3,9.022,6.0,22.8,18.0,5.4774,2,6,8,46.5,3.05,4.73,1.23,0.993,22,27
5,SUV,17,8,13.5,11,7.652,13.5,51.3,40.5,19.434825,3,4,7,8.47,1.81,4.67,1.08,0.937,23,25
4,Sedan,20,9,6.0,3,10.184,6.0,22.8,18.0,3.42945,1,8,19,30.2,2.93,4.67,0.94,0.989,20,24
3,Truck,19,6,17.5,11,6.577,17.5,66.5,52.5,5.4774,3,3,6,36.47,3.03,4.75,1.21,0.991,22,25
3,SUV,17,11,13.5,3,6.619,13.5,51.3,40.5,13.009950000000002,1,10,11,35.26,3.01,4.63,1.11,0.991,20,25
2,Small,18,6,4.0,3,10.211,4.0,15.2,12.0,13.009950000000002,2,3,5,19.2,2.99,4.64,1.03,0.983,20,22
5,Sedan,20,9,6.0,3,10.492,6.0,22.8,18.0,2.426175,1,8,19,49.26,3.56,4.6,1.18,0.994,23,26
5,Truck,22,6,17.5,11,8.968,17.5,66.5,52.5,19.434825,3,5,21,30.6,2.84,4.78,1.03,0.989,20,24
5,SUV,20,10,13.5,11,12.055,13.5,51.3,40.5,13.009950000000002,1,9,19,25.43,2.88,4.78,1.1,0.986,20,24
2,SUV,19,10,13.5,7,9.078,13.5,51.3,40.5,19.434825,2,9,18,38.9,1.8,4.73,1.25,0.986,23,28
1,SUV,18,7,13.5,7,4.971,13.5,51.3,40.5,1.33605,1,3,6,25.68,1.36,4.63,1.04,0.972,22,25
4,Sedan,20,9,6.0,3,5.422,6.0,22.8,18.0,3.42945,3,7,10,16.93,1.24,4.62,0.98,0.953,23,26
1,Small,19,8,4.0,7,11.655,4.0,15.2,12.0,1.33605,3,7,18,31.94,1.14,4.69,0.98,0.973,22,24
1,Sedan,18,7,6.0,11,9.64,6.0,22.8,18.0,13.009950000000002,1,4,6,31.88,0.64,4.7,1.19,0.952,21,24
2,Truck,20,9,17.5,7,11.325,17.5,66.5,52.5,0.685125,3,8,19,30.75,2.05,4.69,1.21,0.984,20,23
4,Sedan,20,9,6.0,7,12.19,6.0,22.8,18.0,19.434825,1,20,23,24.54,3.47,4.61,0.97,0.988,22,26
2,SUV,17,9,13.5,3,10.63,13.5,51.3,40.5,1.33605,2,6,8,23.56,2.99,4.69,1.1,0.986,21,25
1,SUV,17,9,13.5,11,6.396,13.5,51.3,40.5,13.009950000000002,1,17,23,31.09,1.44,4.69,1.08,0.978,21,23
4,Sedan,19,8,6.0,11,5.559,6.0,22.8,18.0,19.434825,2,19,23,7.31,2.66,4.79,1.21,0.95,22,26
1,Small,17,8,4.0,11,10.722,4.0,15.2,12.0,0.685125,3,17,23,7.9,2.51,4.74,0.98,0.951,19,21
1,Truck,19,6,17.5,7,7.752,17.5,66.5,52.5,2.426175,1,5,18,24.76,1.44,4.79,1.24,0.972,20,25
2,Sedan,17,11,7.0,11,15.539,6.0,22.8,17.0,2.426175,2,17,23,13.66,2.43,4.79,1.1,0.97,23,28
4,Small,18,7,4.0,3,8.725,4.0,15.2,12.0,3.42945,2,2,6,25.7,2.5,4.8,1.06,0.985,22,27
5,Small,19,10,6.0,3,14.519,4.0,15.2,10.0,1.33605,2,9,18,7.56,2.63,4.62,1.07,0.951,19,22
3,Small,18,7,5.0,3,12.781,4.0,15.2,11.0,13.009950000000002,3,2,6,44.78,1.48,4.61,0.93,0.985,22,25
4,Sedan,21,7,6.0,3,6.399,6.0,22.8,18.0,18.696825,2,21,23,43.77,0.65,4.72,1.19,0.965,21,26
1,SUV,18,9,13.5,7,10.923,13.5,51.3,40.5,13.009950000000002,1,18,23,16.75,2.86,4.76,1.08,0.979,22,27
4,Sedan,19,6,6.0,3,3.978,6.0,22.8,18.0,3.42945,1,19,23,42.87,1.15,4.8,1.05,0.98,21,24
2,Small,17,7,4.0,7,9.213,4.0,15.2,12.0,1.33605,2,6,16,8.14,2.02,4.68,1.07,0.941,19,23
2,Truck,18,11,17.5,11,11.927,17.5,66.5,52.5,3.42945,2,8,10,28.43,1.68,4.76,1.03,0.979,23,27
4,Sedan,18,8,6.0,3,13.249,6.0,22.8,18.0,18.696825,1,18,23,44.8,3.49,4.64,1.22,0.994,20,25
2,Small,18,8,4.0,3,7.156,4.0,15.2,12.0,3.42945,3,1,7,49.44,1.43,4.76,1.03,0.986,22,25
4,Truck,20,8,17.5,3,5.902,17.5,66.5,52.5,13.009950000000002,2,20,23,29.7,2.35,4.68,1.01,0.986,21,23
5,Small,18,9,4.0,7,8.615,4.0,15.2,12.0,19.434825,1,18,23,22.01,1.61,4.64,1.05,0.972,23,26
2,Small,19,9,4.0,11,9.513,4.0,15.2,12.0,13.009950000000002,3,8,18,37.39,2.1,4.71,1.05,0.987,22,24
2,SUV,18,7,13.5,7,8.543,13.5,51.3,40.5,5.4774,2,6,17,31.62,1.1,4.65,1.1,0.972,22,25
3,Sedan,17,9,6.0,3,8.226,6.0,22.8,18.0,13.009950000000002,3,8,16,15.64,1.18,4.75,1.18,0.947,19,24
1,Sedan,19,6,6.0,7,3.152,6.0,22.8,18.0,1.33605,1,19,23,35.53,1.29,4.66,0.97,0.978,22,26
3,Sedan,17,8,6.0,7,6.421,6.0,22.8,18.0,2.426175,1,1,7,33.09,0.96,4.69,1.21,0.969,23,25
1,Sedan,19,10,6.0,7,8.891,6.0,22.8,18.0,18.696825,3,7,10,7.51,1.53,4.6,1.23,0.917,20,25
5,Small,19,8,4.0,7,9.8,4.0,15.2,12.0,5.4774,2,1,7,31.34,1.58,4.66,1.07,0.98,20,22
2,Sedan,19,10,6.0,3,11.958,6.0,22.8,18.0,3.42945,2,9,18,47.13,1.14,4.66,1.2,0.982,21,24
3,Small,17,10,4.0,7,8.387,4.0,15.2,12.0,18.696825,1,17,23,40.26,2.88,4.65,1.11,0.991,23,28
5,Small,19,10,5.0,11,14.334,4.0,15.2,11.0,18.696825,2,9,18,18.09,1.57,4.76,1.04,0.965,22,24
4,Small,17,10,4.0,7,5.752,4.0,15.2,12.0,19.434825,1,7,9,40.94,3.58,4.63,1.06,0.993,20,23
1,SUV,19,8,13.5,7,16.27,13.5,51.3,40.5,1.33605,1,19,23,26.13,3.53,4.65,1.01,0.989,20,24
2,Sedan,17,11,6.0,3,14.435,6.0,22.8,18.0,19.434825,1,10,16,12.87,2.06,4.71,1.17,0.963,22,27
5,Small,18,7,4.0,3,10.26,4.0,15.2,12.0,1.33605,1,2,6,31.61,2.59,4.78,1.22,0.988,22,27
5,Sedan,19,8,6.0,3,5.288,6.0,22.8,18.0,19.434825,3,19,23,12.58,1.97,4.78,1.07,0.96,19,22
2,Sedan,16,10,6.0,3,10.4,6.0,22.8,18.0,13.009950000000002,1,16,23,49.87,2.33,4.78,1.22,0.991,23,28
3,Truck,21,9,17.5,11,13.964,17.5,66.5,52.5,13.009950000000002,3,5,8,45.86,2.13,4.78,1.11,0.99,19,21
2,Small,19,8,4.0,7,11.406,4.0,15.2,12.0,2.426175,3,6,9,48.31,0.86,4.62,0.99,0.976,19,23
3,Sedan,17,7,6.0,3,10.714,6.0,22.8,18.0,0.685125,1,17,23,8.07,1.46,4.7,1.12,0.919,19,24
2,SUV,21,10,13.5,7,7.289,13.5,51.3,40.5,3.42945,2,9,20,28.69,1.87,4.66,1.1,0.982,22,24
4,SUV,19,10,13.5,3,11.879,13.5,51.3,40.5,3.42945,3,2,9,28.16,1.97,4.77,1.02,0.982,23,28
3,Small,21,9,4.0,7,11.4,4.0,15.2,12.0,19.434825,1,7,8,18.84,3.33,4.79,1.2,0.984,20,23
2,SUV,16,8,13.5,11,12.158,13.5,51.3,40.5,2.426175,3,7,15,29.45,2.39,4.68,1.15,0.986,23,26
3,Sedan,18,10,6.0,7,9.148,6.0,22.8,18.0,13.009950000000002,3,18,23,16.93,3.49,4.64,1.19,0.983,22,26
4,Small,18,11,5.0,7,12.657,4.0,15.2,11.0,2.426175,1,1,10,39.06,1.53,4.79,1.19,0.983,20,22
4,Small,21,7,5.0,7,12.123,4.0,15.2,11.0,13.009950000000002,3,3,6,8.81,0.81,4.75,1.12,0.869,20,25
1,Small,21,9,4.0,3,11.847,4.0,15.2,12.0,5.4774,3,6,9,28.17,2.63,4.7,1.19,0.987,22,24
1,Truck,18,7,17.5,3,5.366,17.5,66.5,52.5,13.009950000000002,1,1,6,34.98,2.87,4.75,1.15,0.99,20,23
1,Small,19,6,4.0,11,5.395,4.0,15.2,12.0,0.685125,1,19,23,34.27,2.68,4.68,0.97,0.989,23,27
1,Small,19,10,6.0,11,16.457,4.0,15.2,10.0,5.4774,2,19,23,34.34,1.04,4.71,1.11,0.972,20,24
5,Small,19,7,4.0,11,10.643,4.0,15.2,12.0,0.685125,1,6,18,32.11,2.79,4.69,1.2,0.989,21,26
5,Sedan,18,7,7.0,7,15.31,6.0,22.8,17.0,13.009950000000002,2,6,8,22.9,2.57,4.63,1.2,0.983,20,24
3,SUV,21,8,13.5,11,8.256,13.5,51.3,40.5,13.009950000000002,2,21,23,47.1,1.98,4.7,0.94,0.989,22,26
5,Truck,19,10,17.5,3,8.755,17.5,66.5,52.5,13.009950000000002,3,19,23,8.15,2.33,4.69,1.08,0.949,21,23
3,Small,22,8,4.0,3,2.486,4.0,15.2,12.0,0.685125,3,7,10,44.8,2.9,4.78,0.95,0.992,22,26
1,Small,18,8,6.0,7,15.024,4.0,15.2,10.0,0.685125,2,18,23,47.99,0.53,4.74,1.14,0.961,22,26
5,Small,17,9,4.0,7,11.032,4.0,15.2,12.0,0.685125,3,8,11,44.59,3.07,4.8,1.11,0.993,21,24
4,SUV,20,7,13.5,7,14.294,13.5,51.3,40.5,1.33605,3,5,8,46.74,0.93,4.78,0.98,0.977,21,23
