NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads,SL_cycle,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,Truck,18,10,17.5,11,16.37,17.5,66.5,52.5,2.426175,3,18,23,8.86,2.8,4.72,1.19,0.96,20,23
4,Sedan,18,12,6.0,3,11.164,6.0,22.8,18.0,2.426175,3,3,9,37.91,0.79,4.64,1.24,0.967,20,22
1,Small,16,8,4.0,7,7.171,4.0,15.2,12.0,0.685125,2,3,5,12.09,1.48,4.69,0.96,0.946,22,26
3,Small,19,9,4.0,7,6.209,4.0,15.2,12.0,3.42945,1,19,23,14.34,2.27,4.73,1.12,0.97,19,22
1,Sedan,17,9,6.0,11,8.802,6.0,22.8,18.0,19.434825,3,17,23,12.19,1.01,4.65,1.25,0.922,22,25
4,Sedan,20,10,7.0,7,16.779,6.0,22.8,17.0,2.426175,3,7,19,27.98,2.22,4.62,1.21,0.984,20,24
1,Sedan,18,9,6.0,7,11.074,6.0,22.8,18.0,2.426175,1,3,6,8.22,2.73,4.66,0.97,0.956,20,23
1,Truck,18,12,17.5,7,3.153,17.5,66.5,52.5,3.42945,1,9,17,48.39,0.87,4.7,1.12,0.977,23,27
4,Small,19,10,5.0,7,12.861,4.0,15.2,11.0,3.42945,1,7,18,17.16,1.47,4.65,1.08,0.961,23,27
3,SUV,20,10,13.5,7,8.112,13.5,51.3,40.5,13.009950000000002,1,20,23,44.29,1.23,4.65,0.99,0.982,21,23
1,Small,18,9,4.0,7,8.656,4.0,15.2,12.0,3.42945,1,2,6,28.59,1.64,4.65,1.24,0.979,21,26
4,Sedan,18,10,6.0,7,7.331,6.0,22.8,18.0,3.42945,1,5,7,31.97,2.84,4.63,1.04,0.989,21,25
5,Truck,19,8,17.5,7,1.886,17.5,66.5,52.5,5.4774,3,5,18,44.04,2.84,4.61,1.01,0.992,22,26
2,Small,18,10,4.0,3,8.423,4.0,15.2,12.0,5.4774,2,3,7,41.85,2.63,4.64,0.98,0.991,21,23
4,Small,19,9,4.0,3,10.882,4.0,15.2,12.0,1.33605,3,19,23,16.3,0.92,4.78,1.09,0.935,23,25
1,Small,18,12,4.0,11,8.923,4.0,15.2,12.0,5.4774,2,5,9,30.29,2.11,4.67,1.08,0.984,22,24
2,Truck,21,10,17.5,7,12.134,17.5,66.5,52.5,19.434825,2,21,23,39.36,1.25,4.69,0.91,0.98,20,23
2,Truck,18,9,17.5,7,12.749,17.5,66.5,52.5,3.42945,3,5,8,9.92,1.87,4.72,1.11,0.948,20,24
4,Sedan,18,11,6.0,3,12.514,6.0,22.8,18.0,19.434825,3,8,11,17.68,0.89,4.62,0.97,0.938,21,23
4,Sedan,20,8,6.0,11,9.782,6.0,22.8,18.0,3.42945,3,5,19,30.01,0.69,4.71,0.99,0.953,19,23
4,Sedan,19,10,6.0,3,12.532,6.0,22.8,18.0,3.42945,3,7,18,28.14,1.61,4.6,1.11,0.978,22,26
2,SUV,18,12,13.5,11,7.649,13.5,51.3,40.5,18.696825,2,2,9,21.2,1.15,4.77,0.96,0.96,23,25
1,Small,19,11,5.0,11,12.089,4.0,15.2,11.0,1.33605,3,8,18,36.98,3.52,4.7,0.92,0.992,21,23
5,Truck,20,11,17.5,7,12.367,17.5,66.5,52.5,0.685125,3,6,9,35.99,1.79,4.79,1.03,0.985,23,26
1,Truck,20,11,17.5,3,10.831,17.5,66.5,52.5,2.426175,3,8,19,33.79,0.73,4.63,0.99,0.96,22,25
2,Small,19,10,5.0,7,13.669,4.0,15.2,11.0,2.426175,1,3,7,27.58,2.28,4.73,0.96,0.984,22,25
